  397.0000;  301.0000;  195.7345;    0.4702
  397.0000;  301.0000;  195.7345;    0.3764
  400.0000;  300.0000;  198.0404;    0.2657
  397.0000;  301.0000;  198.0909;    0.2528
  398.0000;  299.0000;  198.3986;    0.2496
  402.0000;  298.0000;  197.1446;    0.2950
  398.0000;  299.0000;  198.3053;    0.4753
  398.0000;  299.0000;  198.2524;    0.4697
  399.0000;  298.0000;  196.2371;    0.5311
  399.0000;  301.0000;  198.6001;    0.1409
  398.0000;  300.0000;  196.4739;    0.2021
  403.0000;  304.0000;  197.7726;    0.4158
  399.0000;  302.0000;  197.3069;    0.6396
  395.0000;  301.0000;  199.2486;    0.2749
  399.0000;  301.0000;  198.0404;    0.6890
  398.0000;  303.0000;  198.2826;    0.6570
  400.0000;  299.0000;  197.2029;    0.3923
  399.0000;  303.0000;  198.3633;    0.6155
  399.0000;  300.0000;  198.0732;    0.1790
  398.0000;  295.0000;  195.6732;    0.1955
  397.0000;  298.0000;  197.5905;    0.3307
  399.0000;  301.0000;  197.0025;    0.2324
  398.0000;  301.0000;  196.3288;    0.6082
  397.0000;  298.0000;  199.9125;    0.4509
  400.0000;  299.0000;  198.6681;    0.4554
  401.0000;  296.0000;  197.3854;    0.2556
  399.0000;  302.0000;  197.3626;    0.6108
  407.0000;  289.0000;  208.0024;    0.3810
  398.0000;  295.0000;  197.1624;    0.5797
  397.0000;  300.0000;  196.7867;    0.2909
  400.0000;  300.0000;  198.2044;    0.4875
  398.0000;  301.0000;  198.2145;    0.6367
  401.0000;  296.0000;  197.3069;    0.3892
  399.0000;  294.0000;  197.0305;    0.3539
  396.0000;  302.0000;  198.7259;    0.4353
  400.0000;  300.0000;  196.3314;    0.1755
  397.0000;  299.0000;  197.3145;    0.3078
  482.0000;  333.0000;  278.8207;    0.6421
  397.0000;  299.0000;  199.2636;    0.3592
  399.0000;  298.0000;  198.2171;    0.3839
  396.0000;  298.0000;  197.5905;    0.5986
  396.0000;  297.0000;  196.6443;    0.2377
  401.0000;  302.0000;  195.6732;    0.1585
  400.0000;  300.0000;  198.0631;    0.4766
  393.0000;  301.0000;  195.1666;    0.5990
  390.0000;  309.0000;  191.0236;    0.3313
  396.0000;  298.0000;  196.8146;    0.2522
  399.0000;  299.0000;  199.8049;    0.5605
  395.0000;  299.0000;  195.5326;    0.3049
  400.0000;  299.0000;  198.9171;    0.2791
  400.0000;  297.0000;  196.9873;    0.5189
  398.0000;  299.0000;  198.0354;    0.2085
  399.0000;  298.0000;  198.2044;    0.0743
  399.0000;  298.0000;  200.4495;    0.3474
  398.0000;  299.0000;  197.9520;    0.2485
  401.0000;  298.0000;  197.8004;    0.1730
  401.0000;  300.0000;  195.4738;    0.4417
  397.0000;  299.0000;  197.7321;    0.2758
  401.0000;  302.0000;  196.5121;    0.1138
  397.0000;  300.0000;  197.7397;    0.3497
  398.0000;  303.0000;  196.7257;    0.2338
  400.0000;  300.0000;  195.8877;    0.5608
  394.0000;  301.0000;  197.7675;    0.3069
  397.0000;  299.0000;  200.0025;    0.1621
  401.0000;  299.0000;  196.3110;    0.2564
  400.0000;  298.0000;  197.7675;    0.3423
  401.0000;  302.0000;  194.3631;    0.4373
  398.0000;  297.0000;  195.7805;    0.2395
  398.0000;  299.0000;  197.7397;    0.2741
  398.0000;  298.0000;  199.2486;    0.1701
  400.0000;  300.0000;  197.4285;    0.5054
  399.0000;  299.0000;  199.1231;    0.6349
  402.0000;  299.0000;  197.0025;    0.2930
  399.0000;  299.0000;  198.7360;    0.3956
  396.0000;  300.0000;  195.0000;    0.4725
  396.0000;  300.0000;  197.6765;    0.3673
  396.0000;  299.0000;  199.6246;    0.7081
  399.0000;  300.0000;  197.4968;    0.5505
  399.0000;  299.0000;  199.4893;    0.4521
  399.0000;  307.0000;  197.1852;    0.9385
  400.0000;  300.0000;  197.4968;    0.3949
  392.0000;  301.0000;  197.0025;    0.2644
  399.0000;  295.0000;  193.5691;    0.6037
  397.0000;  297.0000;  195.4405;    0.3703
  395.0000;  301.0000;  198.0808;    0.4522
  399.0000;  300.0000;  197.5677;    0.5184
  402.0000;  299.0000;  197.8206;    0.3421
  401.0000;  299.0000;  198.1616;    0.3262
  403.0000;  301.0000;  195.2562;    0.5131
  399.0000;  299.0000;  198.2851;    0.4103
  402.0000;  299.0000;  196.6977;    0.3310
  399.0000;  302.0000;  198.5951;    0.2593
  400.0000;  302.0000;  195.2076;    0.2413
  397.0000;  299.0000;  197.4082;    0.2975
  400.0000;  299.0000;  197.5171;    0.4501
  399.0000;  302.0000;  196.7028;    0.4690
  400.0000;  300.0000;  198.0404;    0.2526
  399.0000;  299.0000;  198.5649;    0.2672
