  403.1134,  299.0347,  201.9896,    1.7637
  395.7519,  306.7050,  205.3091,    2.3531
  419.4190,  297.9627,  212.0206,    1.8703
  390.9928,  300.4899,  198.5201,    1.5326
  418.8854,  285.6198,  218.7343,    1.4117
  409.6175,  292.4297,  211.2148,    2.4976
  403.3172,  317.9416,  212.4454,    1.7193
  394.0953,  302.5231,  201.2278,    3.0276
  399.6800,  299.7291,  199.2196,    2.0087
  431.0269,  286.2418,  231.0183,    1.9374
  407.9008,  295.3319,  207.8870,    2.3823
  399.8907,  309.9727,  209.1216,    1.4388
  400.9714,  293.2541,  200.2277,    1.9999
  404.4174,  293.5726,  203.5973,    2.4540
  394.5723,  305.1877,  201.4926,    1.7693
  399.7431,  297.7538,  197.1761,    2.5106
  403.7908,  306.2808,  200.0086,    1.9772
  400.8314,  336.4816,  219.6948,    2.1038
  399.0238,  307.7167,  205.3984,    1.5242
  402.2032,  295.7045,  202.6449,    2.4939
  406.9556,  289.4025,  207.1321,    1.8274
  395.2102,  303.0420,  197.4184,    2.4372
  410.8574,  284.1078,  212.9252,    1.6524
  395.5276,  309.1963,  203.0874,    1.5623
  402.7065,  292.9221,  202.8285,    1.5648
  390.7190,  304.2626,  199.0914,    1.5381
  411.5405,  300.3514,  208.9238,    2.4169
  398.5833,  312.9167,  203.5997,    2.6979
  418.1087,  301.0302,  211.2257,    1.9073
  400.2549,  305.1501,  202.9214,    2.2516
  395.0000,  295.5000,  198.6133,    0.0042
  405.6577,  316.6087,  211.4477,    2.2554
  402.0371,  303.0013,  197.9119,    1.9890
  406.1243,  300.9527,  200.4210,    1.8238
  405.3246,  291.7120,  207.2209,    2.4670
  399.0655,  289.6345,  201.2473,    2.1048
  388.4529,  286.0881,  210.5557,    2.0219
  401.6623,  307.1995,  204.2129,    1.6655
  397.6269,  305.3717,  201.6829,    1.6936
  400.7421,  298.5979,  200.3029,    1.6206
  411.5692,  307.7589,  204.9760,    1.8514
  391.9049,  300.7097,  202.1814,    1.9104
  399.1903,  301.4394,  200.8395,    2.3040
  392.2411,  316.0091,  209.0400,    2.6434
  398.8746,  301.9043,  200.3354,    2.0198
  409.0300,  299.3670,  206.5044,    2.6009
  397.7750,  310.6700,  207.7153,    1.4390
  420.8746,  277.5264,  220.9906,    2.3050
  413.3084,  294.9849,  210.9514,    2.0073
  383.5192,  308.3839,  216.1986,    1.7173
  407.7127,  284.4722,  214.5965,    1.7305
  399.5000,  294.0000,  195.7147,    0.0041
  386.5438,  309.7485,  210.1164,    2.1016
  407.8236,  281.8293,  217.0782,    1.7868
  397.8023,  321.4510,  219.3466,    1.2587
  408.1084,  299.8307,  206.2330,    1.6635
  396.2414,  314.4230,  204.5702,    1.9494
  411.2590,  294.7554,  207.2758,    2.0517
  399.9178,  306.0924,  201.9166,    1.6234
  393.3525,  311.7914,  203.9757,    2.6118
  407.8348,  296.1137,  203.0756,    2.2856
  401.0733,  295.6212,  200.0577,    2.7909
  384.8182,  299.5273,  205.3365,    2.4809
  400.4425,  299.4023,  198.5107,    2.0087
  403.7216,  299.1443,  201.9408,    1.5743
  402.2387,  324.1718,  214.0366,    2.8044
  387.3125,  307.9724,  205.4724,    2.1993
  402.4357,  294.6614,  201.1957,    1.7967
  413.8797,  293.7473,  213.8928,    2.7183
  402.4040,  283.4157,  205.9370,    2.0901
  414.2094,  297.8040,  207.3723,    1.7356
  394.9088,  306.8451,  206.7254,    1.9279
  394.7647,  311.3529,  208.0379,    1.8659
  407.8713,  289.1386,  206.2562,    1.8107
  403.4070,  301.1862,  199.4760,    1.9703
  396.6000,  329.9029,  218.6126,    2.7319
  394.5000,  295.5000,  197.5158,    0.0038
  393.7676,  309.0705,  204.8417,    3.1181
  405.3902,  316.4634,  212.6010,    2.1870
  387.3740,  307.9160,  210.4213,    1.4668
  398.0571,  301.9963,  199.2854,    1.8091
  413.5221,  290.2921,  209.4939,    1.4566
  405.4292,  303.0365,  200.3759,    2.1487
  389.7471,  326.1385,  216.8064,    2.0240
  395.7154,  321.1695,  216.3082,    1.5727
  410.0449,  297.9763,  208.8200,    1.7451
  397.2824,  307.5216,  205.0212,    2.0416
  354.2609,  309.1087,  241.6953,    2.1768
  406.5524,  293.1779,  205.8727,    2.3321
  405.6511,  303.8481,  200.6996,    1.8556
  407.9233,  285.0390,  206.5852,    1.6537
  402.6667,  292.6667,  206.0661,    2.6223
  410.8723,  289.7234,  211.7242,    2.3601
  411.3924,  301.6090,  206.8375,    2.3411
  401.0000,  301.5000,  198.6058,    0.0052
  405.2674,  296.0277,  198.0714,    2.3558
  407.5608,  309.4915,  208.6672,    1.9825
  400.7167,  297.1297,  199.3847,    1.4715
  403.2963,  306.3333,  202.0603,    1.6193
  403.3902,  284.3373,  210.7641,    1.6748
  403.5155,  277.7113,  214.8070,    2.2173
  396.9414,  313.8940,  211.9029,    1.3957
  398.2418,  298.6786,  198.6145,    2.0050
  405.5878,  291.3337,  205.0766,    1.9051
  401.1364,  313.7436,  205.2764,    1.9474
